	fixationN	duration	position	wordN	freq	freqClass	sentenceN	runN
216	8	100.69538395492881	42.68376245417595	7	25.0	1	28	1
217	9	141.52855970899083	37.94129637037919	7	25.0	1	28	1
218	10	126.46270131688523	43.53420123238954	7	25.0	1	28	1
219	11	230.65267068975496	37.175461532646516	7	25.0	1	28	1
220	12	182.83334847666495	59.203747235139865	11	42.0	2	28	1
221	1	263.61656804126574	1.5	1	69974.0	5	29	1
222	2	177.7816129333904	6.858988129169954	2	1.0	0	29	1
223	3	248.21963570789435	14.05430384766283	3	5.0	1	29	1
224	4	192.90896179323838	18.510463751186784	4	6994.0	4	29	1
225	5	160.96902181583621	29.134149453301372	6	7251.0	4	29	1
226	6	94.15025778940306	33.86868602453399	7	9547.0	4	29	1
227	7	260.508141300768	41.59165006866958	8	97.0	2	29	1
228	1	250.40897135156115	2.0	1	87.0	2	30	1
229	2	222.0597465674069	7.18878840708632	2	9816.0	4	30	1
230	3	169.62571992450697	15.72125061068381	3	3.0	0	30	1
231	4	203.40272012026733	20.810252703947356	5	76.0	2	30	1
232	5	199.6675671450784	23.75604393043434	5	76.0	2	30	1
233	1	306.0088685868283	3.5	1	104.0	2	31	1
234	2	201.26270195650366	9.77749882122551	2	7289.0	4	31	1
235	3	311.00228382710935	16.995447050890334	3	2.0	0	31	1
236	4	226.6267461641304	23.294560153529247	4	69974.0	5	31	1
237	5	177.66888118610655	28.964340486084936	5	10.0	1	31	1
238	6	353.4837220408933	37.641993322929224	7	75.0	2	31	1
239	7	387.14924026742426	51.84429991879014	10	1.0	0	31	1
240	1	370.7766984738786	4.5	1	1.0	0	32	1
241	2	196.8752455930217	9.951049537942602	2	4371.0	4	32	1
242	3	290.29838216197106	14.964977392047505	3	23127.0	4	32	1
243	4	206.3237751917752	22.276056683136908	4	26.0	1	32	1
244	5	302.8850766946511	29.119532338771585	5	69974.0	5	32	1
245	6	307.324488238857	43.073430275345544	7	59.0	2	32	1
246	1	275.0146150021542	3.0	1	52.0	2	33	1
247	2	352.9129724791026	11.448608319297332	2	119.0	2	33	1
248	3	126.32492711397167	15.129792335170336	3	8.0	1	33	1
249	4	326.2733979674832	22.502251114720302	4	1.0	0	33	1
250	5	154.9767896589899	39.55435429881966	6	1.0	0	33	1
251	6	275.0744193517426	43.43528127400776	7	26155.0	4	33	1
252	1	305.1650771408937	1.5	1	69974.0	5	34	1
253	2	240.79958618428861	8.701536923792371	2	31.0	1	34	1
254	3	267.071548353972	15.143915193556053	3	8.0	1	34	1
255	4	297.9566963794343	28.39430420983507	5	1.0	0	34	1
256	5	291.03204026528124	34.56422118534488	7	9547.0	4	34	1
257	6	211.65321600821133	39.260224615936856	8	20.0	1	34	1
258	7	237.2499558132457	48.1050686492231	9	282.0	2	34	1
259	1	248.52024426168936	1.5	1	69974.0	5	35	1
260	2	246.8840767556751	4.827148735627839	2	831.0	3	35	1
261	3	134.7322235243376	14.03116473102845	3	220.0	2	35	1
