	fixationN	duration	position	wordN	freq	freqClass	sentenceN	runN
361	4	302.1628794339608	31.27882387858894	5	3286	3	43	0
362	5	225.69377748809907	38.590908487071324	6	36	1	43	0
363	6	272.1217231188127	44.25109137110654	7	7251	3	43	0
364	0	203.8213189436376	2.5	0	69974	4	44	0
365	1	314.4240241398125	8.651089483889875	1	6	0	44	0
366	2	219.9418264059075	16.51635103845379	2	6	0	44	0
367	3	421.1734711663347	22.041975284163435	3	65	1	44	0
368	4	259.6891036143973	29.034540695505832	5	203	2	44	0
369	5	208.32407859159375	32.34013513787171	5	203	2	44	0
370	6	211.54234338410564	38.48764833641192	6	1	0	44	0
371	7	134.8299501768388	45.68984594780238	7	67	1	44	0
372	8	172.9350469845329	52.840228459662065	9	69974	4	44	0
373	0	280.77441329585736	3.0	0	2333	3	45	0
374	1	187.61603592677034	8.984057082327496	1	69974	4	45	0
375	2	178.82180121904764	13.459028217877199	3	134	2	45	0
376	3	105.62787623438055	10.032296527964977	2	1207	3	45	0
377	4	170.2119515393507	15.890628181359963	3	134	2	45	0
378	5	218.43335631689422	19.090952000050248	4	21335	4	45	0
379	6	243.116416102622	28.987121132702427	6	7	0	45	0
380	7	267.0793458895557	35.698825121889755	7	3727	3	45	0
381	8	304.7139252719711	40.79061849263402	8	1	0	45	0
382	9	290.11171716872866	49.13423067357056	9	76	1	45	0
383	0	224.65549268436024	2.5	0	69974	4	46	0
384	1	129.1895565733742	9.424793577580324	1	6	0	46	0
385	2	317.5456345739275	16.25151694735394	2	36	1	46	0
386	3	97.63521428705815	23.857188520257083	3	101	2	46	0
387	4	125.7743094647036	28.730114504394052	3	101	2	46	0
388	5	168.8934041088149	33.917910417895165	5	2	0	46	0
389	6	204.63782589466564	38.02574621429498	5	2	0	46	0
390	7	264.28532218799666	44.55433226227597	7	8761	3	46	0
391	8	308.353858993471	52.03301210802013	8	13	1	46	0
392	0	297.28470872200455	3.0	0	2333	3	47	0
393	1	185.25481398731407	6.824809242377588	1	2	0	47	0
394	2	122.0476478349993	14.92029483997391	2	1	0	47	0
395	3	164.06904109354173	10.611712922066355	2	1	0	47	0
396	4	290.27155649190945	19.792676557117726	3	246	2	47	0
397	5	338.5788272182428	29.563041402358543	4	1	0	47	0
398	6	331.1456012773981	36.52156018144356	5	28850	4	47	0
399	7	127.18611798269279	41.91024518058469	6	10	0	47	0
400	8	340.88325558615804	50.794008849502305	8	41	1	47	0
