	fixationN	duration	position	wordN	freq	freqClass	sentenceN	runN
306	2	291.2930684660978	7.037763177211393	2	4.0	1	38	1
307	3	148.95226981951478	11.078985510896326	3	1789.0	3	38	1
308	4	145.02115710000356	21.898978645917616	5	445.0	3	38	1
309	5	209.9212184412963	18.501156151478735	5	445.0	3	38	1
310	6	330.3129439858408	33.532230077170766	7	10.0	1	38	1
311	7	137.72509155887897	38.40359480412001	8	23127.0	4	38	1
312	8	182.01040297452266	42.44132561776789	9	1.0	0	38	1
313	9	180.37020254522628	45.5002567224343	9	1.0	0	38	1
314	10	198.8138286137776	49.11107034447567	10	4371.0	4	38	1
315	11	198.19875547184643	59.55507501701689	12	34.0	2	38	1
316	1	271.4373912077909	1.5	1	69974.0	5	39	1
317	2	225.10749239559775	7.315909367221597	2	831.0	3	39	1
318	3	305.8739550133679	12.523915840226946	3	220.0	2	39	1
319	4	169.51242157130505	19.701208955169566	4	78.0	2	39	1
320	5	183.04555530444176	26.548534845228886	6	36414.0	5	39	1
321	6	130.28682593460582	23.00716005947392	5	3001.0	3	39	1
322	7	227.41141225721293	28.041184203934215	6	36414.0	5	39	1
323	8	269.2491906185089	38.40831586977794	8	1.0	0	39	1
324	9	205.41539709534652	42.09771477157547	9	2096.0	3	39	1
325	10	185.4733447514401	53.01533599410776	12	31.0	1	39	1
326	1	226.15763959400206	1.5	1	69974.0	5	40	1
327	2	302.9552251601224	7.2338593747818125	2	9.0	1	40	1
328	3	300.9970451803718	14.840905518389587	3	67.0	2	40	1
329	4	230.86435534660686	18.17396617405394	4	6994.0	4	40	1
330	5	200.09484606205115	24.846109612851976	5	1.0	0	40	1
331	6	340.95848195718594	29.820299254223897	6	28850.0	4	40	1
332	7	213.0222355821154	36.87761392253244	7	1601.0	3	40	1
333	8	314.1492591272259	47.58872766686877	9	22.0	1	40	1
334	9	244.69473194503462	56.84663569403526	10	21335.0	4	40	1
335	1	231.5700419075055	1.5	1	69974.0	5	41	1
336	2	151.69078487691536	7.078713812608421	2	123.0	2	41	1
337	3	192.7432541899509	11.482199218662478	3	288.0	2	41	1
338	4	371.60506228585626	18.02849843565654	4	1.0	0	41	1
339	5	147.94167953048543	26.822879729026752	5	68.0	2	41	1
340	6	155.34710233454223	24.293216760572967	5	68.0	2	41	1
